name	AMCSD_code
Tiptopite	1111
Izoklakeite	1112
Lizardite	1113
Lizardite	1114
Eckermannite	1115
Eckermannite	1116
Nyboite	1117
Sanidine-high	1125
Bertrandite	1126
Lyonsite	1127
Lucasite-(Ce)	1128
Ashcroftine-(Y)	1129
Ashcroftine-(Y)	1130
Grischunite	1131
Becquerelite	1132
Billietite	1133
Protasite	1134
Perroudite	1135
Titanomaghemite	1136
Canaphite	1137
Howardevansite	1138
Magnesiochloritoid	1139
Magnesiochloritoid	1140
Clintonite-1M	1141
Clintonite-1M	1142
Clintonite-1M	1143
Cetineite	1144
Cetineite	1145
Filipstadite	1146
Grossular	1147
Grossular	1148
Osumilite	1149
Osumilite	1150
Osumilite	1151
Osumilite	1152
Osumilite	1153
Osumilite	1154
Osumilite	1155
Osumilite	1156
Sugilite	1157
Brannockite	1158
Brannockite	1159
Thortveitite	1160
Thortveitite	1161
Thortveitite	1162
Thortveitite	1163
Andremeyerite	1164
Holdawayite	1165
Asisite	1166
Stottite	1167
Pyroxmangite	1168
Pyroxmangite	1169
Pyroxmangite	1170
Pyroxmangite	1171
Beryl	1172
Beryl	1173
Beryl	1174
Beryl	1175
Beryl	1176
Beryl	1177
Beryl	1178
Beryl	1179
Beryl	1180
Beryl	1181
Beryl	1182
Beryl	1183
Beryl	1184
Beryl	1185
Beryl	1186
Dollaseite-(Ce)	1187
Todorokite	1188
Todorokite	1189
Todorokite	1190
Paulkellerite	1191
Franklinfurnaceite	1192
Defernite	1193
Anorthite	1194
Anorthite	1195
Anorthite	1196
Howlite	1197
Romanechite	1198
Miguelromeroite	1199
Zimbabweite	1200
Enstatite	1201
Piemontite	1202
Piemontite	1203
Chalcophanite	1204
Chalcophanite	1205
Akrochordite	1206
Andradite	1207
Andradite	1208
Andradite	1209
Andradite	1210
Andradite	1211
Andradite	1212
Pyrope	1213
Pyrope	1214
Pyrope	1215
Schorl	1229
Lipscombite	1230
MgSiO3	1231
Pyroxene	1232
Pyroxene	1233
Pyroxene	1234
Pyroxene	1235
Pyroxene	1236
Pyroxene	1237
Pyroxene	1238
Pyroxene	1239
Pyroxene	1240
Pyroxene	1241
Pyroxene	1242
Pyroxene	1243
Enstatite	1244
Staurolite	1245
Staurolite	1246
Kornerupine	1247
Geigerite	1248
Hornblende	1249
Hornblende	1250
Hornblende	1251
Andradite	1252
Andradite	1253
Andradite	1254
Hibschite	1255
Fluorapatite	1256
Hydroxylapatite	1257
Chlorapatite	1258
Apatite-(CaF)	1259
Apatite-(CaOH)	1260
Apatite-(CaCl)	1261
Coronadite	1262
Coronadite	1263
BaCuSi2O6	1264
Carpholite	1265
Cummingtonite	1266
Pargasite	1267
Pargasite	1268
Hastingsite	1269
Pargasite	1270
Hornblende	1271
Dolomite	1272
Ankerite	1273
Ankerite	1274
Tolovkite	1275
Fukuchilite	1276
Maslovite	1277
Renierite	1278
Magnetoplumbite	1279
Pahasapaite	1280
Andradite	1281
Sverigeite	1282
Wiserite	1283
Sclarite	1284
Albite	1285
Anorthite	1286
Anorthite	1287
Anorthite	1288
Anorthite	1289
Fluorapatite	1290
Chlorapatite	1291
Apatite-(CaF)	1292
Apatite-(CaCl)	1293
Biotite	1294
Biotite	1295
Biotite	1296
Biotite	1297
Biotite	1298
Spessartine	1299
Birnessite	1300
Birnessite	1301
Birnessite	1302
Boggsite	1303
Clinoptilolite-Ca	1304
Clinoptilolite-(Cs)	1305
Stishovite	1306
Stishovite	1307
Stishovite	1308
Stishovite	1309
Stishovite	1310
Stishovite	1311
Stishovite	1312
Stishovite	1313
Melilite	1314
Melilite	1315
Melilite	1316
K2Al2Si3O10*KCl	1317
Melilite	1318
Melilite	1319
Montebrasite	1320
Montebrasite	1321
Montebrasite	1322
Montebrasite	1323
Montebrasite	1324
Montebrasite	1325
Amblygonite	1326
Calcite	1327
Calcite	1328
Nissonite	1329
Yoshiokaite	1330
Edgarbaileyite	1331
Mn3O4	1332
Diopside	1333
Diopside	1334
Diopside	1335
Diopside	1336
Diopside	1337
Montesommaite	1338
Francisite	1339
Phase-B-anhydrous	1340
Phase-B	1341
NaAlGe3O8	1342
NaGaSi3O8	1343
Werdingite	1344
Stibarsen	1345
Volynskite	1346
Ingodite	1347
Norrishite	1348
Akaganeite	1349
Grandreefite	1350
Mullite	1351
Mullite	1352
Titanite	1353
Titanite	1354
Titanite	1355
Titanite	1356
Titanite	1357
Titanite	1358
Titanite	1359
Titanite	1360
Amesite	1361
Diopside	1362
Diopside	1363
Diopside	1364
Diopside	1365
